file,line,pattern,method,code
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",67,"setAlphaF","public void drawFireMote(float x, float y, float z, float vx, float vy, float vz, float r, float g, float b, float alpha, float scale) {","glow.setAlphaF(alpha);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",68,"ParticleEngine.addEffect","public void drawFireMote(float x, float y, float z, float vx, float vy, float vz, float r, float g, float b, float alpha, float scale) {","ParticleEngine.addEffect(getWorld(), glow);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",73,"setAlphaF","public void drawAlumentum(float x, float y, float z, float vx, float vy, float vz, float r, float g, float b, float alpha, float scale) {","glow.setAlphaF(alpha);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",74,"ParticleEngine.addEffect","public void drawAlumentum(float x, float y, float z, float vx, float vy, float vz, float r, float g, float b, float alpha, float scale) {","ParticleEngine.addEffect(getWorld(), glow);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",78,"new FXGeneric","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, vx, vy, vz);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",81,"setAlphaF","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setAlphaF(0.75f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",82,"setGridSize","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setGridSize(16);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",83,"setParticles","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setParticles(57 + getWorld().rand.nextInt(3), 1, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",84,"setScale","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setScale(scale, scale / 4.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",85,"setLayer","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setLayer(1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",86,"setSlowDown","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setSlowDown(0.9750000238418579);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",87,"setGravity","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setGravity(0.2f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",88,"setRotationSpeed","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","fb.setRotationSpeed(getWorld().rand.nextFloat(), getWorld().rand.nextBoolean() ? -1.0f : 1.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",89,"ParticleEngine.addEffect","public void drawTaintParticles(float x, float y, float z, float vx, float vy, float vz, float scale) {","ParticleEngine.addEffect(getWorld(), fb);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",93,"new FXGeneric","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, 0.0, 0.0, 0.0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",95,"setGridSize","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","fb.setGridSize(16);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",97,"setAlphaF","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","fb.setAlphaF(alpha, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",98,"setParticles","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","fb.setParticles(108 + getWorld().rand.nextInt(4), 1, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",99,"setScale","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","fb.setScale(scale);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",100,"setLayer","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","fb.setLayer(0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",101,"setRotationSpeed","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","fb.setRotationSpeed(getWorld().rand.nextFloat(), 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",102,"ParticleEngine.addEffect","public void drawLightningFlash(double x, double y, double z, float r, float g, float b, float alpha, float scale) {","ParticleEngine.addEffect(getWorld(), fb);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",106,"new FXGeneric","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, mx, my, mz);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",109,"setAlphaF","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setAlphaF(part.alpha);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",111,"setParticles","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setParticles(part.partStart, part.partNum, part.partInc);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",112,"setScale","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setScale(part.scale);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",113,"setLayer","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setLayer(part.layer);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",114,"setRotationSpeed","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setRotationSpeed(part.rotstart, part.rot);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",115,"setSlowDown","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setSlowDown(part.slowDown);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",116,"setGravity","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setGravity(part.grav);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",117,"setGridSize","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","fb.setGridSize(part.grid);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",118,"ParticleEngine.addEffect","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, part.delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",118,"ParticleEngine.addEffectWithDelay","public void drawGenericParticles(double x, double y, double z, double mx, double my, double mz, GenPart part) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, part.delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",122,"new FXGeneric","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, x2, y2, z2);"
