"recipe","source_type","converted_type","source_result","converted_result","status","reasons","aliases"
"alembic","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:alembic","thaumcraft:alembic","imported","","thaumcraft:greatwood_planks->thaumcraft:plank_greatwood;thaumcraft:plate_brass->thaumcraft:brass_plate"
"arcane_ear","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:arcane_ear","thaumcraft:arcane_ear","imported","","thaumcraft:plate_brass->thaumcraft:brass_plate"
"arcane_lamp","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:lamp_arcane","thaumcraft:lamp_arcane","imported","","thaumcraft:plate_iron->thaumcraft:iron_plate"
"arcane_workbench","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:arcane_workbench","thaumcraft:arcane_workbench","already_present","already_has_recipe_for_result:research_bridge/arcane_workbench.json","#forge:stone->#c:stones"
"bellows","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:bellows","thaumcraft:bellows","imported","","#forge:ingots/iron->#c:ingots/iron;#forge:leather->minecraft:leather"
"brain_box","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:brain_box","thaumcraft:brain_box","imported","","#thaumcraft:plates/iron->#c:plates/iron;#forge:gems/amber->#c:gems/amber"
"caster_advanced","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:caster_advanced","thaumcraft:caster_advanced","imported","",""
"caster_basic","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:caster_basic","thaumcraft:caster_basic","already_present","already_has_recipe_for_result:caster_basic.json","#forge:leather->minecraft:leather;#forge:ingots/iron->#c:ingots/iron"
"centrifuge","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:centrifuge","thaumcraft:centrifuge","imported","","thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical"
"condenser","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:condenser","thaumcraft:condenser","imported","","thaumcraft:plate_brass->thaumcraft:brass_plate"
"condenser_lattice","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:condenser_lattice","thaumcraft:condenser_lattice","imported","","#forge:gems/quartz->#c:gems/quartz;thaumcraft:plate_thaumium->thaumcraft:thaumium_plate"
"crucible","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:crucible","thaumcraft:crucible","already_present","already_has_recipe_for_result:research_bridge/crucible.json",""
"dioptra","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:dioptra","thaumcraft:dioptra","imported","","thaumcraft:arcane_stone->thaumcraft:stone_arcane;thaumcraft:plate_iron->thaumcraft:iron_plate"
"enchanted_fabric","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:enchanted_fabric","thaumcraft:fabric","already_present","already_has_recipe_for_result:enchantedfabric.json","thaumcraft:enchanted_fabric->thaumcraft:fabric;#forge:string->minecraft:string"
"essentia_transport_input","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:essentia_input","thaumcraft:essentia_input","imported","","#thaumcraft:plates/brass->#c:plates/brass;#thaumcraft:plates/iron->#c:plates/iron;thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical"
"essentia_transport_output","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:essentia_output","thaumcraft:essentia_output","imported","","#thaumcraft:plates/brass->#c:plates/brass;#thaumcraft:plates/iron->#c:plates/iron;thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical"
"filter","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:filter","thaumcraft:filter","already_present","already_has_recipe_for_result:filter.json","#forge:ingots/gold->#c:ingots/gold;thaumcraft:silverwood_planks->thaumcraft:plank_silverwood"
"focus_pouch","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:focus_pouch","thaumcraft:focus_pouch","imported","","#forge:leather->minecraft:leather;#forge:ingots/gold->#c:ingots/gold"
"goggles","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:goggles","thaumcraft:goggles","already_present","already_has_recipe_for_result:goggles.json","#forge:ingots/brass->#c:ingots/brass;#forge:leather->minecraft:leather"
"grapple_gun_spool","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:grapple_gun_spool","thaumcraft:grapple_gun_spool","imported","","#forge:string->minecraft:string"
"grapple_gun_tip","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:grapple_gun_tip","thaumcraft:grapple_gun_tip","imported","","#forge:ingots/iron->#c:ingots/iron"
"hungry_chest","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:hungry_chest","thaumcraft:hungry_chest","imported","","thaumcraft:greatwood_planks->thaumcraft:plank_greatwood;#forge:trapdoors/wooden->#minecraft:wooden_trapdoors"
"infusion_matrix","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:infusion_matrix","thaumcraft:infusion_matrix","already_present","already_has_recipe_for_result:infusionmatrix.json,research_bridge/infusion_matrix.json","thaumcraft:arcane_stone_brick->thaumcraft:stone_arcane_brick;thaumcraft:nitor->thaumcraft:nitor_yellow"
"inlay","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:inlay","thaumcraft:inlay","imported","","#forge:nuggets/gold->minecraft:gold_nugget"
"jar_void","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:jar_void","thaumcraft:jar_void","imported","",""
