SourceRel,Type,SourceResult,LegacyResult,LegacyIdRegistered,TcRefs,MappedTcRefs,CurrentRecipe,Decision
arcane_workbench/alembic.json,thaumcraft:arcane_workbench_shaped,thaumcraft:alembic,thaumcraft:alembic,false,thaumcraft:alembic;thaumcraft:arcane_workbench_shaped;thaumcraft:filter;thaumcraft:greatwood_planks;thaumcraft:plate_brass,thaumcraft:alembic;thaumcraft:arcane_workbench_shaped;thaumcraft:filter;thaumcraft:plank_greatwood;thaumcraft:brass_plate,,defer_until_arcane_serializer_parity
arcane_workbench/arcane_ear.json,thaumcraft:arcane_workbench_shaped,thaumcraft:arcane_ear,thaumcraft:arcane_ear,false,thaumcraft:arcane_ear;thaumcraft:arcane_workbench_shaped;thaumcraft:mechanism_simple;thaumcraft:plate_brass,thaumcraft:arcane_ear;thaumcraft:arcane_workbench_shaped;thaumcraft:mechanism_simple;thaumcraft:brass_plate,,defer_until_arcane_serializer_parity
arcane_workbench/arcane_lamp.json,thaumcraft:arcane_workbench_shaped,thaumcraft:lamp_arcane,thaumcraft:lamp_arcane,false,thaumcraft:amber_block;thaumcraft:arcane_workbench_shaped;thaumcraft:lamp_arcane;thaumcraft:plate_iron,thaumcraft:amber_block;thaumcraft:arcane_workbench_shaped;thaumcraft:lamp_arcane;thaumcraft:iron_plate,,defer_until_arcane_serializer_parity
arcane_workbench/arcane_workbench.json,thaumcraft:arcane_workbench_shaped,thaumcraft:arcane_workbench,thaumcraft:arcane_workbench,true,thaumcraft:arcane_workbench;thaumcraft:arcane_workbench_shaped;thaumcraft:table_wood,thaumcraft:arcane_workbench;thaumcraft:arcane_workbench_shaped;thaumcraft:table_wood,research_bridge/arcane_workbench.json,defer_until_arcane_serializer_parity
arcane_workbench/bellows.json,thaumcraft:arcane_workbench_shaped,thaumcraft:bellows,thaumcraft:bellows,false,thaumcraft:arcane_workbench_shaped;thaumcraft:bellows,thaumcraft:arcane_workbench_shaped;thaumcraft:bellows,,defer_until_arcane_serializer_parity
arcane_workbench/brain_box.json,thaumcraft:arcane_workbench_shaped,thaumcraft:brain_box,thaumcraft:brain_box,false,thaumcraft:arcane_workbench_shaped;thaumcraft:brain_box;thaumcraft:brain_clockwork;thaumcraft:plates/iron,thaumcraft:arcane_workbench_shaped;thaumcraft:brain_box;thaumcraft:brain_clockwork;thaumcraft:plates/iron,,defer_until_arcane_serializer_parity
arcane_workbench/caster_advanced.json,thaumcraft:arcane_workbench_shaped,thaumcraft:caster_advanced,thaumcraft:caster_advanced,false,thaumcraft:arcane_workbench_shaped;thaumcraft:caster_advanced;thaumcraft:caster_basic;thaumcraft:thaumium_ingot;thaumcraft:vis_resonator,thaumcraft:arcane_workbench_shaped;thaumcraft:caster_advanced;thaumcraft:caster_basic;thaumcraft:thaumium_ingot;thaumcraft:vis_resonator,,defer_until_arcane_serializer_parity
arcane_workbench/caster_basic.json,thaumcraft:arcane_workbench_shaped,thaumcraft:caster_basic,thaumcraft:caster_basic,true,thaumcraft:arcane_workbench_shaped;thaumcraft:caster_basic;thaumcraft:thaumometer;thaumcraft:vis_resonator,thaumcraft:arcane_workbench_shaped;thaumcraft:caster_basic;thaumcraft:thaumometer;thaumcraft:vis_resonator,caster_basic.json,defer_until_arcane_serializer_parity
arcane_workbench/centrifuge.json,thaumcraft:arcane_workbench_shaped,thaumcraft:centrifuge,thaumcraft:centrifuge,false,thaumcraft:alchemical_brass_block;thaumcraft:arcane_workbench_shaped;thaumcraft:centrifuge;thaumcraft:mechanism_simple;thaumcraft:morphic_resonator;thaumcraft:tube_normal,thaumcraft:alchemical_brass_block;thaumcraft:arcane_workbench_shaped;thaumcraft:centrifuge;thaumcraft:mechanism_simple;thaumcraft:morphic_resonator;thaumcraft:tube_normal,,defer_until_arcane_serializer_parity
arcane_workbench/condenser.json,thaumcraft:arcane_workbench_shaped,thaumcraft:condenser,thaumcraft:condenser,false,thaumcraft:arcane_workbench_shaped;thaumcraft:condenser;thaumcraft:mechanism_complex;thaumcraft:morphic_resonator;thaumcraft:plate_brass;thaumcraft:tube_normal,thaumcraft:arcane_workbench_shaped;thaumcraft:condenser;thaumcraft:mechanism_complex;thaumcraft:morphic_resonator;thaumcraft:brass_plate;thaumcraft:tube_normal,,defer_until_arcane_serializer_parity
arcane_workbench/condenser_lattice.json,thaumcraft:arcane_workbench_shaped,thaumcraft:condenser_lattice,thaumcraft:condenser_lattice,false,thaumcraft:arcane_workbench_shaped;thaumcraft:condenser_lattice;thaumcraft:filter;thaumcraft:plate_thaumium,thaumcraft:arcane_workbench_shaped;thaumcraft:condenser_lattice;thaumcraft:filter;thaumcraft:thaumium_plate,,defer_until_arcane_serializer_parity
arcane_workbench/crucible.json,thaumcraft:arcane_workbench_shaped,thaumcraft:crucible,thaumcraft:crucible,true,thaumcraft:arcane_workbench_shaped;thaumcraft:crucible,thaumcraft:arcane_workbench_shaped;thaumcraft:crucible,research_bridge/crucible.json,defer_until_arcane_serializer_parity
arcane_workbench/dioptra.json,thaumcraft:arcane_workbench_shaped,thaumcraft:dioptra,thaumcraft:dioptra,false,thaumcraft:arcane_stone;thaumcraft:arcane_workbench_shaped;thaumcraft:dioptra;thaumcraft:plate_iron;thaumcraft:thaumometer;thaumcraft:vis_resonator,thaumcraft:stone_arcane;thaumcraft:arcane_workbench_shaped;thaumcraft:dioptra;thaumcraft:iron_plate;thaumcraft:thaumometer;thaumcraft:vis_resonator,,defer_until_arcane_serializer_parity
arcane_workbench/enchanted_fabric.json,thaumcraft:arcane_workbench_shaped,thaumcraft:enchanted_fabric,thaumcraft:enchanted_fabric,false,thaumcraft:arcane_workbench_shaped;thaumcraft:enchanted_fabric,thaumcraft:arcane_workbench_shaped;thaumcraft:enchanted_fabric,,defer_until_arcane_serializer_parity
arcane_workbench/essentia_transport_input.json,thaumcraft:arcane_workbench_shaped,thaumcraft:essentia_input,thaumcraft:essentia_input,false,thaumcraft:alchemical_brass_block;thaumcraft:arcane_workbench_shaped;thaumcraft:essentia_input;thaumcraft:plates/brass;thaumcraft:plates/iron,thaumcraft:alchemical_brass_block;thaumcraft:arcane_workbench_shaped;thaumcraft:essentia_input;thaumcraft:plates/brass;thaumcraft:plates/iron,,defer_until_arcane_serializer_parity
arcane_workbench/essentia_transport_output.json,thaumcraft:arcane_workbench_shaped,thaumcraft:essentia_output,thaumcraft:essentia_output,false,thaumcraft:alchemical_brass_block;thaumcraft:arcane_workbench_shaped;thaumcraft:essentia_output;thaumcraft:plates/brass;thaumcraft:plates/iron,thaumcraft:alchemical_brass_block;thaumcraft:arcane_workbench_shaped;thaumcraft:essentia_output;thaumcraft:plates/brass;thaumcraft:plates/iron,,defer_until_arcane_serializer_parity
arcane_workbench/filter.json,thaumcraft:arcane_workbench_shaped,thaumcraft:filter,thaumcraft:filter,true,thaumcraft:arcane_workbench_shaped;thaumcraft:filter;thaumcraft:silverwood_planks,thaumcraft:arcane_workbench_shaped;thaumcraft:filter;thaumcraft:plank_silverwood,filter.json,defer_until_arcane_serializer_parity
