Rel,Status,Decision,Extension
assets/minecraft/shaders/post/blurtc.json,different,keep_current_1_21_or_legacy_asset,.json
assets/minecraft/shaders/post/desaturatetc.json,different,keep_current_1_21_or_legacy_asset,.json
assets/minecraft/shaders/post/hunger.json,different,keep_current_1_21_or_legacy_asset,.json
assets/minecraft/shaders/post/sunscorned.json,different,keep_current_1_21_or_legacy_asset,.json
assets/minecraft/shaders/program/bloom2.fsh,identical,already_present,.fsh
assets/minecraft/shaders/program/bloom2.json,identical,already_present,.json
assets/minecraft/shaders/program/bloomcolor.fsh,identical,already_present,.fsh
assets/minecraft/shaders/program/bloomcolor.json,identical,already_present,.json
assets/minecraft/shaders/program/bloomvertexbase.vsh,identical,already_present,.vsh
assets/minecraft/shaders/program/color_convolve2.fsh,different,keep_current_1_21_or_legacy_asset,.fsh
assets/minecraft/shaders/program/color_convolve2.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/activator_rail.json,identical,already_present,.json
assets/thaumcraft/blockstates/alchemical_brass_advanced_block.json,identical,already_present,.json
assets/thaumcraft/blockstates/alchemical_brass_block.json,identical,already_present,.json
assets/thaumcraft/blockstates/alembic.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/amber_block.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/amber_brick.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/amber_ore.json,identical,already_present,.json
assets/thaumcraft/blockstates/amulet_vis.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/ancient_pedestal_doorway.json,identical,already_present,.json
assets/thaumcraft/blockstates/ancient_pillar.json,identical,already_present,.json
assets/thaumcraft/blockstates/ancient_rock.json,identical,already_present,.json
assets/thaumcraft/blockstates/ancient_stone.json,identical,already_present,.json
assets/thaumcraft/blockstates/ancient_stone_glyphed.json,identical,already_present,.json
assets/thaumcraft/blockstates/ancient_stone_slab.json,identical,already_present,.json
assets/thaumcraft/blockstates/ancient_stone_stairs.json,identical,already_present,.json
assets/thaumcraft/blockstates/ancient_stone_tile.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_ear.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/arcane_ear_toggle.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/arcane_pillar.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_stone.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_stone_brick.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_stone_brick_slab.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_stone_brick_stairs.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_stone_slab.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_stone_stairs.json,identical,already_present,.json
assets/thaumcraft/blockstates/arcane_workbench.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/arcane_workbench_charger.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_black.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_blue.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_brown.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_crimson_cult.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_cyan.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_gray.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_green.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_light_blue.json,identical,already_present,.json
assets/thaumcraft/blockstates/banner_light_gray.json,identical,already_present,.json
assets/thaumcraft/blockstates/banner_lightblue.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_lime.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_magenta.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_orange.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_pink.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_purple.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_red.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_silver.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_white.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/banner_yellow.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/barrier.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/baubles.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/bellows.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/brain_box.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/brass_block.json,identical,already_present,.json
assets/thaumcraft/blockstates/candle_black.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_blue.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_brown.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_cyan.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_gray.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_green.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_light_blue.json,identical,already_present,.json
assets/thaumcraft/blockstates/candle_light_gray.json,identical,already_present,.json
assets/thaumcraft/blockstates/candle_lightblue.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_lime.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_magenta.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_orange.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_pink.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_purple.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_red.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_silver.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_white.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/candle_yellow.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/celestial_notes.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/centrifuge.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/chunk.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/cinderpearl.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/cinnabar_ore.json,identical,already_present,.json
assets/thaumcraft/blockstates/cluster.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/condenser.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/condenser_lattice.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/condenser_lattice_dirty.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/creative_placer.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crucible.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_aer.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_air.json,identical,already_present,.json
assets/thaumcraft/blockstates/crystal_aqua.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_earth.json,identical,already_present,.json
assets/thaumcraft/blockstates/crystal_entropy.json,identical,already_present,.json
assets/thaumcraft/blockstates/crystal_essence.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_fire.json,identical,already_present,.json
assets/thaumcraft/blockstates/crystal_flux.json,identical,already_present,.json
assets/thaumcraft/blockstates/crystal_ignis.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_order.json,identical,already_present,.json
assets/thaumcraft/blockstates/crystal_ordo.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_perditio.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_terra.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_vitium.json,different,keep_current_1_21_or_legacy_asset,.json
assets/thaumcraft/blockstates/crystal_water.json,identical,already_present,.json
